id;year;earning1;season;Nindnme;returnSe
35;2007;-24.61433;2;C3;-0.0521921
35;2007;4.468997;3;C3;
35;2007;;4;C3;
35;2008;;1;C3;
35;2008;78.6514;2;C3;-0.1895973
35;2008;119.8189;3;C3;-0.3298539
35;2008;-29.77688;4;C3;-0.0162866
35;2009;-57.74076;1;C3;0.4375
35;2009;-21.68829;2;C3;0.4757506
35;2009;-15.9569;3;C3;-0.2257053
35;2009;-20.88979;4;C3;0.3827656
35;2010;2.33659;1;C3;0.0676259
35;2010;-13.42343;2;C3;-0.2851351
35;2010;-21.72988;3;C3;0.2268431
35;2010;46.89648;4;C3;0.0292758
36;2007;3.773024;1;C1;0.7462365
36;2007;4.284974;2;C1;-0.1563276
36;2007;-11.19093;3;C1;0.052139
36;2007;-113.2942;4;C1;0.015
36;2008;-10.7166;1;C1;-0.3431734
36;2008;-10.01692;2;C1;-0.3358491
36;2008;-72.14935;3;C1;-0.3210227
36;2008;-215.5505;4;C1;-0.0744186
36;2009;69.6976;1;C1;0.4851485
36;2009;60.6504;2;C1;0.6466667
36;2009;62.03292;3;C1;-0.0767676
36;2009;73.96854;4;C1;0.412527
36;2010;5.791306;1;K;-0.0532725
36;2010;8.528958;2;K;-0.3890675
36;2010;11.84056;3;K;0.1913747
36;2010;58.00869;4;K;-0.1128668
37;2007;-4.247394;1;D;0.7542373
37;2007;2.348381;2;D;-0.2072289
37;2007;9.173914;3;D;0.5753846
37;2007;29.14979;4;D;-0.1316793
37;2008;12.47536;1;D;-0.1675618
37;2008;14.84351;2;D;-0.2857143
37;2008;23.6675;3;D;-0.2527076
37;2008;17.3001;4;D;-0.2262774
37;2009;-5.791629;1;D;0.4357366
37;2009;49.37846;2;D;0.1413044
37;2009;99.47643;3;D;-0.0152964
37;2009;57.39186;4;D;0.3976834
37;2010;-47.41919;1;D;0.1158621
37;2010;-129.0595;2;D;-0.394314
37;2010;-91.18449;3;D;0.2479508
37;2010;-57.71935;4;D;-0.171799
38;2007;44.68115;1;I;0.4734693
38;2007;13.8252;2;I;
38;2007;;3;I;
38;2007;;4;I;
38;2008;;1;I;
38;2008;;2;I;
38;2008;;3;I;
38;2008;;4;I;
38;2009;;1;I;
38;2009;;2;I;
38;2009;;3;I;
38;2009;;4;I;
38;2010;;1;K;
38;2010;;2;K;
38;2010;;3;K;
38;2010;;4;K;
39;2007;25.39786;1;C3;0.2819037
39;2007;49.56702;2;C3;0.1822581
39;2007;55.37466;3;C3;0.1336718
39;2007;96.51558;4;C3;-0.2452611
39;2008;17.06801;1;C3;-0.255787
39;2008;53.11822;2;C3;-0.4385055
39;2008;137.0765;3;C3;-0.1937322
39;2008;221.3519;4;C3;-0.2439024
39;2009;52.5736;1;C3;0.335453
39;2009;87.2939;2;C3;0.1633136
39;2009;55.0763;3;C3;-0.0010163
39;2009;85.17081;4;C3;0.3086913
39;2010;24.8742;1;C3;0.0656604
39;2010;70.69518;2;C3;-0.1572238
39;2010;158.0604;3;C3;0.2016807
39;2010;136.1273;4;C3;0.5877072
40;2007;-3.817669;1;S;0.9832775
40;2007;26.21981;2;S;0.1416526
40;2007;24.90668;3;S;0.3412112
40;2007;17.14228;4;S;-0.0397849
40;2008;-5.476277;1;S;-0.2203947
40;2008;-13.81758;2;S;-0.4824191
40;2008;-37.17327;3;S;-0.016129
40;2008;-105.6647;4;S;-0.0333333
40;2009;-8.284684;1;S;0.864641
40;2009;-11.38975;2;S;0.0814815
40;2009;-8.864839;3;S;-0.229932
40;2009;16.55496;4;S;0.2486956
40;2010;9.028393;1;K;0.0263889
40;2010;15.03135;2;K;-0.3621622
40;2010;20.1778;3;K;0.1334746
40;2010;35.44825;4;K;-0.0715596
42;2007;-2.957696;1;K;0.011043
42;2007;26.51311;2;K;0.6365291
42;2007;16.44741;3;K;0.1522479
42;2007;32.6287;4;K;-0.2503247
42;2008;-2.363983;1;K;-0.0195567
42;2008;-8.044046;2;K;-0.5844444
42;2008;-26.1283;3;K;-0.2566845
42;2008;5.738337;4;K;-0.1029186
42;2009;-0.8668792;1;K;1.233333
42;2009;42.593;2;K;0.363232
42;2009;28.99525;3;K;-0.0675749
42;2009;55.82343;4;K;0.2694713
42;2010;7.999959;1;K;-0.0084145
42;2010;20.37812;2;K;-0.4400891
42;2010;52.33446;3;K;0.2598425
42;2010;89.77516;4;K;0.1015873
43;2007;8.863741;1;S;0.6226013
43;2007;9.269343;2;S;0.3034437
43;2007;11.39577;3;S;0.3673171
43;2007;50.40368;4;S;-0.2365592
43;2008;3.170668;1;S;-0.2121917
43;2008;7.596425;2;S;-0.456586
43;2008;4.497979;3;S;-0.299569
43;2008;26.56475;4;S;-0.2100162
43;2009;-2.699338;1;S;1.00202
43;2009;11.83148;2;S;0.5480962
43;2009;6.525153;3;S;0.0477437
43;2009;26.78324;4;S;-0.0631579
43;2010;3.034989;1;K;-0.0438769
43;2010;2.350417;2;K;-0.3457627
43;2010;26.66341;3;K;0.1407407
43;2010;112.0803;4;K;0.1652502
45;2007;1.763175;1;C1;0.7933492
45;2007;3.566653;2;C1;-0.2053333
45;2007;7.357029;3;C1;0.4283333
45;2007;8.448804;4;C1;-0.0034965
45;2008;4.799952;1;C1;-0.0834313
45;2008;24.26217;2;C1;-0.2460526
45;2008;31.66296;3;C1;-0.2568966
45;2008;61.08366;4;C1;0.1255814
45;2009;9.238345;1;C1;0.4604463
45;2009;14.2875;2;C1;0.2861112
45;2009;18.62986;3;C1;0.0895361
45;2009;20.34862;4;C1;0.2396396
45;2010;4.260296;1;C1;-0.018705
45;2010;10.50655;2;C1;-0.2061856
45;2010;10.09802;3;C1;0.3246753
45;2010;10.20117;4;C1;0.1268191
46;2007;6.388069;1;K;0.3479853
46;2007;16.24981;2;K;0.3415015
46;2007;12.32556;3;K;0.9332371
46;2007;12.96261;4;K;-0.3209969
46;2008;1.608619;1;K;-0.2297463
46;2008;5.891579;2;K;-0.7783784
46;2008;9.695451;3;K;-0.2678788
46;2008;18.09485;4;K;0.0227273
46;2009;0.654248;1;K;0.7858348
46;2009;4.746812;2;K;0.8755891
46;2009;5.12669;3;K;-0.3446014
46;2009;11.75611;4;K;0.0831444
46;2010;3.550344;1;K;-0.0844382
