id,year,returnSe,season,earning1,Nindnme
18,2011,-0.4298137,4,-0.2170479,C1
18,2012,0.3834422,1,-0.0050929,C1
18,2012,-0.0677165,2,-0.066124,C1
18,2012,0.0912162,3,-0.1041807,C1
18,2012,0.0356037,4,-0.0038394,C1
18,2013,0.2735427,1,-0.039914,C1
18,2013,0.0363849,2,-0.0485348,C1
18,2013,0.1551529,3,-0.0060351,C1
18,2013,-0.0617647,4,0.0771756,C1
18,2014,-0.0731452,1,-0.0119946,C1
18,2014,0.1770011,2,0.0083472,C1
18,2014,1.461686,4,0.0411802,C1
18,2015,0.0431906,1,-0.001525,C1
18,2015,0.230884,2,-0.0022763,C1
18,2015,-0.2424242,3,0.7369406,C1
18,2015,0.9680001,4,0.39378,C1
18,2016,0.0085365,1,0.0409101,E
18,2016,-0.7547359,2,0.1076183,E
18,2016,-0.1824158,3,0.1730824,E
18,2016,0.0753769,4,0.3307664,E
18,2017,-0.0392523,1,0.0646603,E
18,2017,-0.2636186,2,0.1895228,E
18,2017,0.0422721,3,0.3903896,E
18,2017,-0.2243346,4,0.3393309,E
19,2007,0.5945455,1,0.0087002,C1
19,2007,1.416191,4,0.3267142,C1
19,2008,-0.3860312,1,0.0009498,C1
19,2008,-0.1829362,2,0.0367571,C1
19,2008,-0.3386641,3,0.1070099,C1
19,2008,-0.2759602,4,0.1462181,C1
19,2009,0.4106089,1,-0.0836491,C1
19,2009,0.1949861,2,-0.0044249,C1
19,2009,-0.1969697,3,0.0604605,C1
19,2009,0.5137882,4,-0.0919083,C1
19,2010,0.0709492,1,-0.0666604,C1
19,2010,-0.3285587,2,-0.0989663,C1
19,2010,0.3506667,3,-0.1744026,C1
19,2010,0.0552813,4,0.0569372,C1
19,2011,-0.0112254,1,-0.0389053,C1
19,2011,-0.0340586,2,0.0428705,C1
19,2011,-0.1204702,3,0.149711,C1
19,2011,-0.1403118,4,0.0477771,C1
19,2012,0.4935233,1,-0.0210505,C1
19,2012,-0.2497832,2,0.3429146,C1
19,2012,-0.067052,3,0.4394226,C1
19,2012,0.0433706,4,0.4083252,C1
19,2013,-0.0736342,1,0.0095484,C1
19,2013,-0.0897436,2,-0.0255308,C1
19,2013,0.1352113,3,0.3483677,C1
19,2013,-0.0583127,4,0.2495819,C1
19,2014,0.0935441,1,-0.0395021,C1
19,2014,-0.2024097,2,-0.1316695,C1
19,2014,0.4456193,3,-0.1981317,C1
19,2014,-0.1964472,4,0.0547274,C1
19,2015,0.4018205,1,-0.0509428,C1
19,2015,0.4100186,2,0.0086836,C1
19,2015,-0.4276316,3,-0.0319525,C1
19,2015,0.9597701,4,-0.1830806,C1
19,2016,0.0140763,1,-0.0178047,C1
19,2016,-0.2157317,2,-0.0417298,C1
